Interogari,time_1nf_sec,time_2nf_sec,time_3nf_sec
Q1,2.937,2.523,1.946
Q2,3.839,0.997,0.809
Q3,1.666,0.397,0.334
Q4,1.306,0.338,0.262
Q5,1.956,0.435,0.348
Q6,1.251,0.309,0.239
Q7,1.338,0.209,0.213
Q8,2.429,0.577,0.578
Q9,1.622,0.258,0.255
Q10,1.542,0.255,0.25
Q11,2.882,8.331,4.273
Q12,1.773,3.754,2.143
Q13,1.781,3.484,1.837
Q14,2.654,4.608,2.346
Q15,1.695,3.573,1.779
Q16,1.714,3.775,1.936
Q17,3.391,5.448,2.747
Q18,1.564,2.384,1.319
Q19,2.915,5.052,2.604
Q20,1.948,4.163,2.155
Q21,10.776,12.232,5.957
Q22,1.51,3.186,1.689
Q23,7.621,8.457,4.348
Q24,1.521,2.735,1.793
Q25,1.261,2.998,1.696
Q26,7.924,10.47,5.025
Q27,2.063,3.658,1.9
Q28,14.975,16.635,8.131
Q29,1.887,3.702,1.923
Q30,2.48,4.103,2.148
Q31,97.746,3.587,1.514
Q32,80.358,2.806,1.299
Q33,87.952,2.614,1.252
Q34,88.226,2.637,1.252
Q35,80.843,2.77,1.343
Q36,80.801,2.522,1.21
Q37,79.852,2.45,1.268
Q38,155.364,3.733,1.909
Q39,79.7,2.443,1.166
Q40,80.501,2.794,1.346
Q41,88.489,2.698,1.246
Q42,107.274,3.57,1.569
Q43,80.243,2.905,1.299
Q44,110.345,3.128,1.459
Q45,23.301,1.292,0.622
Q46,13.08,1.039,0.508
Q47,152.552,3.515,1.706
Q48,41.781,1.815,0.851
Q49,109.687,3.25,1.525
Q50,14.23,1.102,0.532
Q51,1.326,1.119,0.638
Q52,1.461,1.625,0.925
Q53,1.289,1.031,0.605
Q54,1.452,1.053,0.661
Q55,1.469,1.432,0.866
Q56,1.854,1.887,1.111
Q57,1.577,1.652,0.79
Q58,4.407,5.44,2.776
Q59,1.271,1.193,0.679
Q60,1.392,1.098,0.639
Q61,0.922,1.96,1.984
Q62,1.074,1.093,1.288
Q63,1.32,1.122,1.508
Q64,0.208,0.469,0.5
Q65,0.577,0.686,0.943
Q66,1.396,1.467,1.617
Q67,0.407,0.299,0.342
Q68,0.261,0.214,0.18
Q69,0.964,1.02,1.292
Q70,1.574,1.526,2.079
Q71,2.754,4.401,2.241
Q72,2.845,5.483,2.948
Q73,1.622,3.021,1.334
Q74,7.131,11.108,5.51
Q75,2.251,4.885,2.639
Q76,3.015,3.193,1.78
Q77,3.598,5.716,2.736
Q78,6.184,6.175,3.541
Q79,3.292,5.941,3.584
Q80,2.429,4.779,3.076
Q81,1.527,3.596,1.848
Q82,0.28,0.176,0.214
Q83,1.387,3.414,1.767
Q84,0.151,0.107,0.128
Q85,2.818,3.687,2.114
Q86,0.188,0.17,0.233
Q87,1.943,4.568,2.301
Q88,0.178,0.17,0.192
Q89,2.21,2.788,1.799
Q90,1.594,3.1,1.755
Q91,1.505,3.652,1.898
Q92,0.252,0.44,0.517
Q93,1.823,3.81,2.129
Q94,0.245,0.42,0.495
Q95,1.69,3.988,2.23
Q96,0.199,0.375,0.439
Q97,2.094,0.992,0.865
Q98,0.268,0.23,0.32
Q99,1.918,3.795,2.161
Q100,0.136,0.111,0.119
Q101,1.389,0.961,0.56
Q102,1.797,1.56,0.92
Q103,1.262,0.957,0.552
Q104,7.029,1.536,1.068
Q105,5.968,1.364,0.678
Q106,4.074,1.623,1.118
Q107,1.517,0.703,0.437
Q108,3.158,1.903,1.655
Q109,2.5,1.221,0.592
Q110,3.939,1.889,1.186
Q111,11.469,13.089,7.143
Q112,2.01,3.75,2.215
Q113,0.899,0.635,0.765
Q114,512.851,10.584,5.663
Q115,0.467,0.408,0.465
Q116,7.113,6.956,3.309
Q117,1.396,2.445,1.33
Q118,7.925,0.954,0.555
Q119,0.53,0.41,0.521
Q120,1327.931,11.023,6.273
Q121,15.923,4.556,2.748
Q122,3.212,5.622,3.097
Q123,137.92,5.23,2.592
Q124,137.101,5.168,3.126
Q125,45.576,6.011,3.184
Q126,100.464,4.286,2.841
Q127,33.704,1.387,0.731
Q128,39.618,2.516,1.531
Q129,10.064,3.328,1.849
Q130,194.662,6.53,6.986
Q131,1.897,3.035,1.819
Q132,2.405,4.499,2.335
Q133,91.677,3.274,2.214
Q134,126.771,9.725,5.442
Q135,26.78,2.165,1.33
Q136,0.869,0.677,0.845
Q137,1.342,2.458,1.35
Q138,28.245,2.243,1.437
Q139,8.469,4.879,2.41
Q140,1658.059,15.626,8.626
Q141,16.565,6.04,3.808
Q142,3.054,5.111,3.213
Q143,2.047,0.601,0.804
Q144,0.332,0.253,0.297
Q145,72.298,3.776,2.211
Q146,10.535,3.385,1.906
Q147,90.768,4.183,2.722
Q148,0.425,0.475,0.729
Q149,12.08,8.067,4.22
Q150,166.671,7.948,4.669
